0:0:0:0:0:0:0:1 - - [08/Oct/2014:14:04:04 +0530] "GET /ALM-ReleaseManagement/releasemanagement/searchrelease HTTP/1.1" 500 10704
10.1.5.71 - - [08/Oct/2014:14:05:16 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [08/Oct/2014:14:22:25 +0530] "GET /ALM-ReleaseManagement/releasemanagement/searchrelease HTTP/1.1" 500 10704
0:0:0:0:0:0:0:1 - - [08/Oct/2014:14:22:25 +0530] "GET /ALM-ReleaseManagement/releasemanagement/searchrelease HTTP/1.1" 500 10524
0:0:0:0:0:0:0:1 - - [08/Oct/2014:14:22:26 +0530] "GET /ALM-ReleaseManagement/releasemanagement/searchrelease HTTP/1.1" 500 10524
0:0:0:0:0:0:0:1 - - [08/Oct/2014:14:22:26 +0530] "GET /ALM-ReleaseManagement/releasemanagement/searchrelease HTTP/1.1" 500 10524
0:0:0:0:0:0:0:1 - - [08/Oct/2014:14:26:06 +0530] "GET /ALM-ReleaseManagement/releasemanagement/searchrelease HTTP/1.1" 500 10524
0:0:0:0:0:0:0:1 - - [08/Oct/2014:14:26:06 +0530] "GET /ALM-ReleaseManagement/releasemanagement/searchrelease HTTP/1.1" 500 10524
0:0:0:0:0:0:0:1 - - [08/Oct/2014:14:26:06 +0530] "GET /ALM-ReleaseManagement/releasemanagement/searchrelease HTTP/1.1" 500 10524
0:0:0:0:0:0:0:1 - - [08/Oct/2014:14:26:06 +0530] "GET /ALM-ReleaseManagement/releasemanagement/searchrelease HTTP/1.1" 500 10524
0:0:0:0:0:0:0:1 - - [08/Oct/2014:14:26:18 +0530] "GET /ALM-ReleaseManagement/releasemanagement/newreleasesubmit?ReleaseTitle=&ReleaseDescription=&ReleaseStartDate=&ReleasePlannedDate=&ReleaseReleaseDate=&ReleaseType=&ReleaseTo=&ReleaseItems=&ReleaseStatus=&ReleaseManager=&ReleaseVersion= HTTP/1.1" 500 9628
